Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.925000,-71.305000,-90.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.962500,-63.500000,180.000000,top
"D1","WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.975000,-78.500000,90.000000,top
"D2","WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.475000,-76.500000,90.000000,top
"D3","WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.475000,-78.000000,90.000000,top
"D4","WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.475000,-80.000000,90.000000,top
"D5","WHITE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.475000,-79.000000,90.000000,top
"D6","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.200000,-91.025000,90.000000,top
"D7","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.200000,-91.025000,90.000000,top
"D8","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.700000,-91.025000,90.000000,top
"J1","Conn_01x02_Pin","USB_A_Male_inboard",175.147596,-63.052405,-45.000000,top
"R1","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.125000,-63.705000,0.000000,top
"R2","50k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.925000,-67.105000,-90.000000,top
"R3","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.000000,-70.500000,-90.000000,top
"R4","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.500000,-70.500000,-90.000000,top
"R5","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.500000,-70.500000,-90.000000,top
"R6","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.500000,-70.500000,-90.000000,top
"R7","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.500000,-70.500000,-90.000000,top
"R8","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.200000,-95.600000,-90.000000,top
"R9","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.200000,-95.600000,-90.000000,top
"R10","150","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.700000,-95.600000,-90.000000,top
"R11","5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.000000,-61.500000,0.000000,top
"U1","NA555D","SOIC-8_3.9x4.9mm_P1.27mm",163.725000,-68.005000,0.000000,top
