Designator,Mid X,Mid Y,Rotation,Layer
C1,168.925,-71.305,270.0,top
C2,163.9625,-63.5,180.0,top
D1,111.975,-78.5,90.0,top
D2,124.475,-76.5,90.0,top
D3,133.475,-78.0,90.0,top
D4,155.475,-80.0,90.0,top
D5,144.475,-79.0,90.0,top
D6,144.2,-91.025,90.0,top
D7,153.2,-91.025,90.0,top
D8,158.7,-91.025,90.0,top
J1,175.147596,-63.052405,315.0,top
R1,168.125,-63.705,0.0,top
R10,158.7,-95.6,270.0,top
R11,164.0,-61.5,0.0,top
R2,168.925,-67.105,270.0,top
R3,112.0,-70.5,270.0,top
R4,124.5,-70.5,270.0,top
R5,133.5,-70.5,270.0,top
R6,155.5,-70.5,270.0,top
R7,144.5,-70.5,270.0,top
R8,144.2,-95.6,270.0,top
R9,153.2,-95.6,270.0,top
U1,163.725,-68.005,0.0,top
